month,1,2,3,number of clusters
1990-02,259,249,10,6
1990-03,261,251,10,6
1990-04,245,237,8,5
1990-05,244,236,8,5
1990-06,243,235,8,5
1990-07,265,256,9,5
1990-08,247,239,8,5
1990-09,265,261,4,5
1990-10,266,262,4,5
1990-11,267,263,4,5
1990-12,259,257,2,4
1991-01,263,261,2,4
1991-02,264,261,3,4
1991-03,275,269,6,5
1991-04,275,269,6,4
1991-05,275,269,6,5
1991-06,260,256,4,7
1991-07,272,266,6,12
1991-08,262,258,4,7
1991-09,347,344,3,8
1991-10,359,346,13,8
1991-11,362,349,13,8
1991-12,374,366,8,8
1992-01,379,366,13,12
1992-02,378,372,6,10
1992-03,383,381,2,9
1992-04,387,382,5,10
1992-05,390,387,3,11
1992-06,395,390,5,13
1992-07,400,395,5,13
1992-08,408,405,3,13
1992-09,417,414,3,11
1992-10,420,417,3,12
1992-11,425,422,3,12
1992-12,421,418,3,14
1993-01,443,439,4,12
1993-02,392,391,1,9
1993-03,400,398,2,9
1993-04,402,400,2,12
1993-05,400,398,2,12
1993-06,399,397,2,11
1993-07,402,400,2,10
1993-08,402,400,2,12
1993-09,406,404,2,13
1993-10,412,410,2,13
1993-11,412,410,2,14
1993-12,439,437,2,14
1994-01,437,435,2,14
1994-02,442,440,2,14
1994-03,432,428,4,11
1994-04,431,427,4,13
1994-05,430,426,4,12
1994-06,440,437,3,11
1994-07,444,441,3,10
1994-08,440,436,4,10
1994-09,448,445,3,9
1994-10,448,445,3,11
1994-11,453,450,3,12
1994-12,453,452,1,13
1995-01,451,450,1,13
1995-02,449,448,1,12
1995-03,474,471,3,11
1995-04,479,476,3,13
1995-05,482,479,3,13
1995-06,452,450,2,12
1995-07,458,456,2,13
1995-08,464,460,4,13
1995-09,475,470,5,12
1995-10,474,469,5,14
1995-11,474,469,5,13
1995-12,458,454,4,13
1996-01,461,457,4,14
1996-02,462,460,2,14
1996-03,474,471,3,13
1996-04,537,533,4,15
1996-05,541,537,4,14
1996-06,552,548,4,15
1996-07,555,551,4,16
1996-08,557,553,4,18
1996-09,556,552,4,17
1996-10,561,556,5,17
1996-11,560,555,5,17
1996-12,544,542,2,13
1997-01,543,541,2,12
1997-02,543,541,2,13
1997-03,546,544,2,15
1997-04,551,549,2,16
1997-05,558,556,2,15
1997-06,546,543,3,13
1997-07,550,544,6,13
1997-08,554,548,6,12
1997-09,563,559,4,12
1997-10,560,554,6,14
1997-11,561,556,5,12
1997-12,606,600,6,19
1998-01,615,610,5,20
1998-02,616,611,5,22
1998-03,673,669,4,13
1998-04,626,621,5,10
1998-05,685,680,5,13
1998-06,646,644,2,9
1998-07,654,653,1,9
1998-08,666,644,22,12
1998-09,715,714,1,13
1998-10,730,728,2,17
1998-11,723,721,2,15
1998-12,748,746,2,14
1999-01,740,732,8,11
1999-02,806,798,8,14
1999-03,820,817,3,19
1999-04,811,808,3,21
1999-05,813,810,3,21
1999-06,808,805,3,21
1999-07,823,820,3,20
1999-08,811,808,3,22
1999-09,796,794,2,19
1999-10,778,772,6,7
1999-11,778,776,2,21
1999-12,758,752,6,9
2000-01,816,813,3,10
2000-02,806,803,3,9
2000-03,719,714,5,13
2000-04,713,709,4,12
2000-05,715,711,4,12
2000-06,720,713,7,12
2000-07,712,707,5,13
2000-08,714,709,5,12
2000-09,709,704,5,13
2000-10,703,698,5,12
2000-11,698,693,5,13
2000-12,690,680,10,13
2001-01,696,690,6,11
2001-02,700,696,4,10
2001-03,697,695,2,8
2001-04,699,695,4,9
2001-05,661,656,5,22
2001-06,655,652,3,19
2001-07,659,654,5,20
2001-08,655,649,6,22
2001-09,648,642,6,20
2001-10,647,643,4,20
2001-11,669,664,5,20
2001-12,677,674,3,15
2002-01,672,669,3,18
2002-02,669,666,3,17
2002-03,671,668,3,15
2002-04,669,667,2,16
2002-05,672,665,7,18
2002-06,679,675,4,17
2002-07,674,672,2,18
2002-08,672,668,4,17
2002-09,684,680,4,19
2002-10,673,669,4,19
2002-11,673,668,5,19
2002-12,668,665,3,21
2003-01,659,656,3,20
2003-02,657,654,3,20
2003-03,664,661,3,20
2003-04,665,662,3,18
2003-05,666,663,3,19
2003-06,663,660,3,21
2003-07,653,649,4,20
2003-08,642,639,3,18
2003-09,648,644,4,22
2003-10,652,648,4,19
2003-11,647,641,6,20
2003-12,647,644,3,16
2004-01,653,650,3,21
2004-02,651,647,4,23
2004-03,651,649,2,11
2004-04,645,643,2,11
2004-05,647,645,2,11
2004-06,643,641,2,13
2004-07,663,660,3,14
2004-08,658,655,3,15
2004-09,651,647,4,15
2004-10,628,624,4,14
2004-11,633,631,2,12
2004-12,646,642,4,18
2005-01,649,645,4,17
2005-02,641,638,3,18
2005-03,634,631,3,20
2005-04,634,631,3,20
2005-05,629,626,3,18
2005-06,659,656,3,13
2005-07,648,645,3,12
2005-08,643,638,5,12
2005-09,641,637,4,14
2005-10,638,634,4,15
2005-11,637,633,4,15
2005-12,618,605,13,23
2006-01,638,634,4,20
2006-02,635,632,3,20
2006-03,609,601,8,22
2006-04,571,565,6,20
2006-05,594,585,9,15
2006-06,604,598,6,21
2006-07,603,597,6,21
2006-08,608,603,5,17
2006-09,605,600,5,17
2006-10,607,602,5,15
2006-11,608,603,5,15
2006-12,579,574,5,9
2007-01,572,569,3,11
2007-02,571,568,3,11
2007-03,642,638,4,16
2007-04,636,631,5,20
2007-05,633,627,6,19
2007-06,624,619,5,25
2007-07,599,594,5,20
2007-08,610,605,5,20
2007-09,621,615,6,14
2007-10,614,611,3,17
2007-11,605,602,3,21
2007-12,600,597,3,20
2008-01,591,586,5,22
2008-02,589,584,5,23
2008-03,575,573,2,23
2008-04,565,563,2,21
2008-05,571,569,2,23
2008-06,578,576,2,24
2008-07,598,597,1,25
2008-08,575,574,1,24
2008-09,589,580,9,25
2008-10,614,603,11,24
2008-11,600,585,15,22
2008-12,589,586,3,24
2009-01,591,588,3,23
2009-02,597,594,3,22
2009-03,618,609,9,21
2009-04,607,602,5,23
2009-05,606,599,7,21
2009-06,620,615,5,21
2009-07,649,640,9,21
2009-08,649,640,9,22
2009-09,649,639,10,23
2009-10,650,640,10,25
2009-11,647,635,12,25
2009-12,668,653,15,21
2010-01,666,649,17,21
2010-02,675,657,18,21
2010-03,705,697,8,20
2010-04,713,705,8,20
2010-05,719,710,9,19
2010-06,757,756,1,8
2010-07,759,757,2,7
2010-08,752,750,2,7
2010-09,747,745,2,8
2010-10,742,740,2,9
2010-11,736,734,2,9
2010-12,734,733,1,12
2011-01,740,739,1,13
2011-02,748,746,2,13
2011-03,736,733,3,14
2011-04,737,734,3,15
2011-05,737,736,1,17
2011-06,728,722,6,15
2011-07,734,728,6,16
2011-08,743,737,6,17
2011-09,745,739,6,20
2011-10,808,802,6,13
2011-11,800,795,5,12
2011-12,782,776,6,11
2012-01,1526,1518,8,12
2012-02,1536,1529,7,12
2012-03,1566,1558,8,15
2012-04,1573,1564,9,18
2012-05,1579,1570,9,16
2012-06,1575,1565,10,20
2012-07,1572,1564,8,16
2012-08,1571,1563,8,16
2012-09,1601,1592,9,14
2012-10,1626,1617,9,11
2012-11,1627,1618,9,11
2012-12,1621,1619,2,12
2013-01,1617,1614,3,15
2013-02,1617,1616,1,15
2013-03,1621,1618,3,15
2013-04,1622,1621,1,11
2013-05,1634,1632,2,12
2013-06,1625,1624,1,11
2013-07,1634,1633,1,8
2013-08,1621,1620,1,11
2013-09,1625,1624,1,11
2013-10,1633,1631,2,12
2013-11,1633,1631,2,11
2013-12,1638,1636,2,12
2014-01,1633,1631,2,8
2014-02,1630,1628,2,9
2014-03,1625,1622,3,7
2014-04,1626,1624,2,12
2014-05,1642,1640,2,7
2014-06,1642,1637,5,10
2014-07,1648,1646,2,10
2014-08,1639,1637,2,12
2014-09,1642,1639,3,15
2014-10,1638,1635,3,14
2014-11,1634,1632,2,15
2014-12,1656,1654,2,14
2015-01,1663,1661,2,11
2015-02,1669,1666,3,9
2015-03,1667,1663,4,10
2015-04,1659,1656,3,10
2015-05,1669,1665,4,14
2015-06,1657,1655,2,14
2015-07,1658,1656,2,14
2015-08,1661,1659,2,14
2015-09,1670,1668,2,12
2015-10,1674,1672,2,13
2015-11,1665,1663,2,14
2015-12,1660,1657,3,16
2016-01,1648,1646,2,12
2016-02,1656,1654,2,11
2016-03,1659,1657,2,11
2016-04,1644,1642,2,14
2016-05,1640,1638,2,9
2016-06,1632,1631,1,12
2016-07,1630,1629,1,10
2016-08,1660,1634,26,12
2016-09,1621,1620,1,12
2016-10,1611,1609,2,9
2016-11,1596,1594,2,11
2016-12,1607,1605,2,15
2017-01,1589,1587,2,17
2017-02,1580,1578,2,16
2017-03,1595,1591,4,11
2017-04,1592,1589,3,12
2017-05,1598,1595,3,12
2017-06,1599,1596,3,10
2017-07,1609,1606,3,14
2017-08,1609,1606,3,13
2017-09,1602,1599,3,13
2017-10,1599,1596,3,13
2017-11,1609,1602,7,15
2017-12,1620,1612,8,16
2018-01,1623,1621,2,18
2018-02,1631,1626,5,16
2018-03,1632,1629,3,19
2018-04,1626,1623,3,15
2018-05,1648,1646,2,13
2018-06,1653,1648,5,15
2018-07,1656,1649,7,20
2018-08,1658,1655,3,12
2018-09,1688,1685,3,11
2018-10,1688,1684,4,19
2018-11,1686,1680,6,16
2018-12,1676,1674,2,11
2019-01,1681,1675,6,15
2019-02,1681,1679,2,13
2019-03,1686,1683,3,16
2019-04,1695,1687,8,13
2019-05,1707,1699,8,11
2019-06,1689,1684,5,8
2019-07,1697,1694,3,11
2019-08,1698,1693,5,15
2019-09,1692,1688,4,13
2019-10,1694,1691,3,14
2019-11,1696,1693,3,16
2019-12,1691,1687,4,16
2020-01,1685,1682,3,19
2020-02,1691,1685,6,19
2020-03,1693,1689,4,13
2020-04,1675,1666,9,18
2020-05,1670,1665,5,17
2020-06,1771,1761,10,9
2020-07,1802,1793,9,6
2020-08,1796,1793,3,7
2020-09,1801,1797,4,8
2020-10,1797,1787,10,10
2020-11,1760,1755,5,14
2020-12,1661,1657,4,17
2021-01,1664,1660,4,11
2021-02,1666,1659,7,11
2021-03,1679,1671,8,18
2021-04,1663,1660,3,11
2021-05,1674,1668,6,9
2021-06,1689,1684,5,12
2021-07,1709,1706,3,11
2021-08,1706,1701,5,9
2021-09,1701,1697,4,7
2021-10,1721,1716,5,13
2021-11,1715,1713,2,13
2021-12,1736,1734,2,9
2022-01,1747,1744,3,17
2022-02,1748,1744,4,13
2022-03,1830,1824,6,18
2022-04,1818,1812,6,13
2022-05,1827,1820,7,14
2022-06,1829,1821,8,12
2022-07,1859,1851,8,14
2022-08,1848,1842,6,13
2022-09,1836,1830,6,19
2022-10,1842,1833,9,18
2022-11,1854,1846,8,15
2022-12,1849,1841,8,18
2023-01,1837,1827,10,18
2023-02,1837,1827,10,12
2023-03,1831,1821,10,12
2023-04,1835,1828,7,17
2023-05,1850,1842,8,12
2023-06,1841,1834,7,13
2023-07,1824,1816,8,14
